date,USDJPY_Close,USDJPY_return,USDJPY_sma_5,USDJPY_sma_20,USDJPY_sma_50,USDJPY_ema_20,USDJPY_macd_line,USDJPY_macd_signal,USDJPY_macd_hist,USDJPY_rsi_14,USDJPY_roc_5,USDJPY_roc_20,USDJPY_price_vs_sma20,USDJPY_atr_14,USDJPY_stoch_k,USDJPY_stoch_d,JPYUSD_Close,JPYUSD_return,JPYUSD_rsi_14,JPYUSD_macd_hist,EURUSD_Close,EURUSD_return,GBPUSD_Close,GBPUSD_return,AUDUSD_Close,AUDUSD_return,usa_sentiment_mean,usa_sentiment_std,usa_sentiment_ma3,usa_sentiment_ma5,usa_sentiment_ma7,usa_sentiment_ma10,usa_sentiment_ma20,usa_sentiment_volatility_7d,usa_sentiment_volatility_20d,usa_sentiment_momentum_3d,usa_sentiment_momentum_5d,usa_sentiment_momentum_10d,usa_sentiment_trend_short,usa_sentiment_trend_medium,usa_sentiment_ema5,usa_sentiment_ema20,usa_article_count,japan_sentiment_mean,japan_sentiment_std,japan_sentiment_ma3,japan_sentiment_ma5,japan_sentiment_ma7,japan_sentiment_ma10,japan_sentiment_ma20,japan_sentiment_volatility_7d,japan_sentiment_volatility_20d,japan_sentiment_momentum_3d,japan_sentiment_momentum_5d,japan_sentiment_momentum_10d,japan_sentiment_trend_short,japan_sentiment_trend_medium,japan_sentiment_ema5,japan_sentiment_ema20,japan_article_count,sentiment_divergence,sentiment_divergence_ma5,sentiment_combined,sentiment_combined_ma7,volatility_percentile,price_momentum_20d,price_momentum_60d
2006-07-24,116.75,0.0054253981959753,116.79800109863282,115.6697505950928,114.27990020751952,115.8089922125844,0.5978527019353805,0.5130475956391872,0.0848051062961933,58.97964691289174,-0.2818601177772979,0.4560306089572321,0.0093390830303479,0.9636997803626316,71.81824014204543,75.96918618810997,0.0085653104925053,-0.0053961220849496,40.99587919938673,-6.12704348299622e-06,1.262403130531311,-0.0064508702018152,1.8496938943862915,-0.0048461645321633,0.7535794973373413,-0.000828943557313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.006680931728452855,0.04411136210602917
2006-07-25,117.1500015258789,0.0034261372666286,116.76200103759766,115.71125068664551,114.42770019531248,115.9367073852791,0.6310858242347166,0.5366552413582931,0.0944305828764234,61.29058522401036,-0.1534137069519118,0.7135504068365461,0.0124339753541307,0.9548638201860586,73.25765207776664,72.50006887645449,0.0085360647629107,-0.0034144389301696,38.741482884544766,-6.818284901624321e-06,1.2583998441696167,-0.0031711632083877,1.841010332107544,-0.0046945942272402,0.7535226941108704,-7.537788205713714e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.006680931728452855,0.04411136210602917
2006-07-26,116.3499984741211,-0.0068288778603309,116.66600036621097,115.70875053405764,114.53650009155272,115.97606844135927,0.586113402257979,0.5465468735382303,0.0395665287197487,54.65834681814388,-0.410856243610868,-0.0429579476824108,0.0055419139615955,0.956658956425561,75.00004334881746,73.35864518954317,0.0085947573108256,0.0068758320777884,45.24862481205294,-2.77685698361122e-06,1.2712942361831665,0.0102466573508346,1.8543930053710933,0.0072692005200367,0.7608034610748291,0.0096623061533001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.006680931728452855,0.04411136210602917
2006-07-27,115.75,-0.0051568412719364,116.42400054931642,115.73875045776369,114.63350006103516,115.95453811361078,0.4963361175627341,0.5365047223431311,-0.0401686047803969,50.26518842777036,-1.0345409489946662,0.521058155597375,9.719771633798224e-05,0.966183055101636,67.4242884002609,71.89399460894833,0.0086393088552915,0.0051835721306272,49.62304222223691,3.122941272577041e-06,1.269599437713623,-0.0013331284145767,1.8580108880996704,0.0019509794946908,0.7628929018974304,0.0027463608270781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.006680931728452855,0.04411136210602917
2006-07-28,114.73999786376952,-0.0087257203993994,116.14799957275392,115.75125045776367,114.69509994506836,115.8388676136259,0.3397715660644422,0.4971580910873933,-0.157386525022951,43.872679299168674,-1.1884299433097874,0.218359686142603,-0.0087364291097931,0.9957417570809834,46.34900393274261,62.92444522727365,0.0087153566203417,0.0088025288045607,56.074401796937,1.188115028248084e-05,1.2751035690307615,0.0043353290444509,1.8650106191635127,0.0037673251048606,0.7666947841644287,0.0049835071968062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.006680931728452855,0.04411136210602917
2006-07-31,114.51000213623048,-0.0020044947866576,115.7,115.7392505645752,114.75610000610352,115.7123089967311,0.1948877532513933,0.4367040235201933,-0.2418162702688,42.545765994730125,-1.918627720573462,-0.2091484651586205,-0.0106208431655505,0.9731887962306108,27.62255443918204,47.131948924061845,0.0087328615958832,0.002008520856237,57.4259272998919,1.820869238302455e-05,1.277400255203247,0.00180117617758,1.8682161569595337,0.0017187772354125,0.7658727169036865,-0.0010722223206958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.006680931728452855,0.04411136210602917
2006-08-01,114.55999755859376,0.0004366031039262,115.18199920654295,115.71250038146974,114.80449996948242,115.60256505024182,0.0831420902587325,0.3659916368679012,-0.2828495466091686,42.94969174741794,-2.210844160094185,-0.4648365753812817,-0.0099600546101459,0.965817819156103,13.891955937048271,29.28783810299097,0.0087290504653557,-0.0004364125648453,57.01461682613533,2.1279193957753003e-05,1.2820019721984863,0.0036024080756951,1.8759965896606443,0.004164631952318,0.7649939060211182,-0.0011474633619555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.006680931728452855,0.04411136210602917
2006-08-02,114.55999755859376,0.0,114.82399902343752,115.66200027465824,114.84089996337892,115.50327290818012,-0.0053554188125133,0.2917222257318183,-0.2970776445443316,42.94969174741796,-1.5384623455113038,-0.8739310711235446,-0.0095277853871416,0.9418306358890934,10.630573414768978,17.38169459699976,0.0087290504653557,0.0,57.01461682613533,2.234200272335057e-05,1.2791976928710938,-0.0021874220073028,1.8781105279922483,0.0011268348478108,0.764584481716156,-0.000535199433276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.006680931728452855,0.04411136210602917
2006-08-03,115.04000091552734,0.0041899735262134,114.68199920654298,115.65100021362306,114.90649993896486,115.4591517660227,-0.0363391775737937,0.2261099450706959,-0.2624491226444897,47.09148552819416,-0.6133901377733532,-0.1908738648495866,-0.0052831302536694,0.9281284476113012,15.405341130443762,13.309290160753669,0.0086926285817251,-0.004172490899801,52.82137955321507,1.971543287128509e-05,1.2799016237258911,0.0005502909039942,1.8871841430664065,0.0048312465847566,0.7612088322639465,-0.0044150117258888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.006680931728452855,0.04411136210602917
2006-08-04,114.4800033569336,-0.0048678507835283,114.6300003051758,115.67700042724611,114.94309997558597,115.36589953658564,-0.1048722504788628,0.1599135059607841,-0.2647857564396469,43.15517044042219,-0.2265944846404948,0.4563042090545167,-0.010347753364035,0.9700478006139548,15.829633774455608,13.95518277322278,0.0087351499884406,0.0048916626674806,56.814657169320185,1.9907162013086745e-05,1.2878963947296145,0.0062463949224862,1.909781813621521,0.0119742795837594,0.7655795216560364,0.0057417744078069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.006680931728452855,0.04411136210602917
